epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1597051814295,2020-08-10T12.30.14.295,0.000,0.999,-0.032,-0.040,0.000
1597051814305,2020-08-10T12.30.14.305,0.010,0.999,-0.032,-0.040,0.000
1597051814315,2020-08-10T12.30.14.315,0.020,0.999,-0.032,-0.040,0.000
1597051814325,2020-08-10T12.30.14.325,0.030,0.999,-0.032,-0.040,0.000
1597051814336,2020-08-10T12.30.14.336,0.041,0.999,-0.032,-0.040,0.000
1597051814345,2020-08-10T12.30.14.345,0.050,0.999,-0.032,-0.040,0.000
1597051814355,2020-08-10T12.30.14.355,0.060,0.999,-0.032,-0.040,0.000
1597051814365,2020-08-10T12.30.14.365,0.070,0.999,-0.032,-0.040,0.000
1597051814375,2020-08-10T12.30.14.375,0.080,0.999,-0.032,-0.040,0.000
1597051814386,2020-08-10T12.30.14.386,0.091,0.999,-0.032,-0.040,0.000
1597051814394,2020-08-10T12.30.14.394,0.099,0.999,-0.032,-0.040,0.000
1597051814405,2020-08-10T12.30.14.405,0.110,0.999,-0.032,-0.040,0.000
1597051814415,2020-08-10T12.30.14.415,0.120,0.999,-0.032,-0.040,0.000
1597051814425,2020-08-10T12.30.14.425,0.130,0.999,-0.032,-0.040,0.000
1597051814435,2020-08-10T12.30.14.435,0.140,0.999,-0.032,-0.040,0.000
1597051814444,2020-08-10T12.30.14.444,0.149,0.999,-0.032,-0.040,0.000
1597051814454,2020-08-10T12.30.14.454,0.159,0.999,-0.032,-0.040,0.000
1597051814465,2020-08-10T12.30.14.465,0.170,0.999,-0.032,-0.040,0.000
1597051814475,2020-08-10T12.30.14.475,0.180,0.999,-0.032,-0.040,0.000
1597051814485,2020-08-10T12.30.14.485,0.190,0.999,-0.032,-0.040,0.000
1597051814495,2020-08-10T12.30.14.495,0.200,0.999,-0.032,-0.040,0.000
1597051814504,2020-08-10T12.30.14.504,0.209,0.999,-0.032,-0.040,0.000
1597051814514,2020-08-10T12.30.14.514,0.219,0.999,-0.032,-0.040,0.000
1597051814525,2020-08-10T12.30.14.525,0.230,0.999,-0.032,-0.040,0.000
1597051814535,2020-08-10T12.30.14.535,0.240,0.999,-0.032,-0.040,0.000
1597051814545,2020-08-10T12.30.14.545,0.250,0.999,-0.032,-0.040,0.000
1597051814554,2020-08-10T12.30.14.554,0.259,0.999,-0.032,-0.040,0.000
1597051814564,2020-08-10T12.30.14.564,0.269,0.999,-0.032,-0.040,0.000
1597051814575,2020-08-10T12.30.14.575,0.280,0.999,-0.032,-0.040,0.000
1597051814585,2020-08-10T12.30.14.585,0.290,0.999,-0.032,-0.040,0.000
1597051814595,2020-08-10T12.30.14.595,0.300,0.999,-0.032,-0.040,0.000
1597051814604,2020-08-10T12.30.14.604,0.309,0.999,-0.032,-0.040,0.000
1597051814614,2020-08-10T12.30.14.614,0.319,0.999,-0.032,-0.040,0.000
1597051814624,2020-08-10T12.30.14.624,0.329,0.999,-0.032,-0.040,0.000
1597051814635,2020-08-10T12.30.14.635,0.340,0.999,-0.032,-0.040,0.000
1597051814645,2020-08-10T12.30.14.645,0.350,0.999,-0.032,-0.040,0.000
1597051814654,2020-08-10T12.30.14.654,0.359,0.999,-0.032,-0.040,0.000
1597051814664,2020-08-10T12.30.14.664,0.369,0.999,-0.032,-0.040,0.000
1597051814674,2020-08-10T12.30.14.674,0.379,0.999,-0.032,-0.040,0.000
1597051814684,2020-08-10T12.30.14.684,0.389,0.999,-0.032,-0.040,0.000
1597051814695,2020-08-10T12.30.14.695,0.400,0.999,-0.032,-0.040,0.000
1597051814703,2020-08-10T12.30.14.703,0.408,0.999,-0.032,-0.040,0.000
1597051814714,2020-08-10T12.30.14.714,0.419,0.999,-0.032,-0.040,0.000
1597051814724,2020-08-10T12.30.14.724,0.429,0.999,-0.032,-0.040,0.000
1597051814734,2020-08-10T12.30.14.734,0.439,0.999,-0.032,-0.040,0.000
1597051814744,2020-08-10T12.30.14.744,0.449,0.999,-0.032,-0.040,0.000
1597051814753,2020-08-10T12.30.14.753,0.458,0.999,-0.032,-0.040,0.000
1597051814763,2020-08-10T12.30.14.763,0.468,0.999,-0.032,-0.040,0.000
1597051814774,2020-08-10T12.30.14.774,0.479,0.999,-0.032,-0.040,0.000
1597051814784,2020-08-10T12.30.14.784,0.489,0.999,-0.032,-0.040,0.000
1597051814794,2020-08-10T12.30.14.794,0.499,0.999,-0.032,-0.040,0.000
1597051814803,2020-08-10T12.30.14.803,0.508,0.999,-0.032,-0.040,0.000
1597051814813,2020-08-10T12.30.14.813,0.518,0.999,-0.032,-0.040,0.000
1597051814824,2020-08-10T12.30.14.824,0.529,0.999,-0.032,-0.040,0.000
1597051814834,2020-08-10T12.30.14.834,0.539,0.999,-0.032,-0.040,0.000
1597051814844,2020-08-10T12.30.14.844,0.549,0.999,-0.032,-0.040,0.000
1597051814854,2020-08-10T12.30.14.854,0.559,0.999,-0.032,-0.040,0.000
1597051814863,2020-08-10T12.30.14.863,0.568,0.999,-0.032,-0.040,0.000
1597051814873,2020-08-10T12.30.14.873,0.578,0.999,-0.032,-0.040,0.000
1597051814884,2020-08-10T12.30.14.884,0.589,0.999,-0.032,-0.040,0.000
1597051814894,2020-08-10T12.30.14.894,0.599,0.999,-0.032,-0.040,0.000
1597051814904,2020-08-10T12.30.14.904,0.609,0.999,-0.032,-0.040,0.000
1597051814913,2020-08-10T12.30.14.913,0.618,0.999,-0.032,-0.040,0.000
1597051814923,2020-08-10T12.30.14.923,0.628,0.999,-0.032,-0.040,0.000
1597051814933,2020-08-10T12.30.14.933,0.638,0.999,-0.032,-0.040,0.000
1597051814944,2020-08-10T12.30.14.944,0.649,0.999,-0.032,-0.040,0.000
1597051814954,2020-08-10T12.30.14.954,0.659,0.999,-0.032,-0.040,0.000
1597051814963,2020-08-10T12.30.14.963,0.668,0.999,-0.032,-0.040,0.000
1597051814973,2020-08-10T12.30.14.973,0.678,0.999,-0.032,-0.040,0.000
1597051814983,2020-08-10T12.30.14.983,0.688,0.999,-0.032,-0.040,0.000
1597051814993,2020-08-10T12.30.14.993,0.698,0.999,-0.032,-0.040,0.000
1597051815004,2020-08-10T12.30.15.004,0.709,0.999,-0.032,-0.040,0.000
1597051815012,2020-08-10T12.30.15.012,0.717,0.999,-0.032,-0.040,0.000
1597051815023,2020-08-10T12.30.15.023,0.728,0.999,-0.032,-0.040,0.000
1597051815033,2020-08-10T12.30.15.033,0.738,0.999,-0.032,-0.040,0.000
1597051815043,2020-08-10T12.30.15.043,0.748,0.999,-0.032,-0.040,0.000
1597051815054,2020-08-10T12.30.15.054,0.759,0.999,-0.032,-0.040,0.000
1597051815062,2020-08-10T12.30.15.062,0.767,0.999,-0.032,-0.040,0.000
1597051815073,2020-08-10T12.30.15.073,0.778,0.999,-0.032,-0.040,0.000
1597051815083,2020-08-10T12.30.15.083,0.788,0.999,-0.032,-0.040,0.000
1597051815093,2020-08-10T12.30.15.093,0.798,0.999,-0.032,-0.040,0.000
1597051815103,2020-08-10T12.30.15.103,0.808,0.999,-0.032,-0.040,0.000
1597051815112,2020-08-10T12.30.15.112,0.817,0.999,-0.032,-0.040,0.000
1597051815122,2020-08-10T12.30.15.122,0.827,0.999,-0.032,-0.040,0.000
1597051815133,2020-08-10T12.30.15.133,0.838,0.999,-0.032,-0.040,0.000
1597051815143,2020-08-10T12.30.15.143,0.848,0.999,-0.032,-0.040,0.000
1597051815153,2020-08-10T12.30.15.153,0.858,0.999,-0.032,-0.040,0.000
1597051815162,2020-08-10T12.30.15.162,0.867,0.999,-0.032,-0.040,0.000
1597051815172,2020-08-10T12.30.15.172,0.877,0.999,-0.032,-0.040,0.000
1597051815182,2020-08-10T12.30.15.182,0.887,0.999,-0.032,-0.040,0.000
1597051815193,2020-08-10T12.30.15.193,0.898,0.999,-0.032,-0.040,0.000
1597051815203,2020-08-10T12.30.15.203,0.908,0.999,-0.032,-0.040,0.000
1597051815213,2020-08-10T12.30.15.213,0.918,0.999,-0.032,-0.040,0.000
1597051815222,2020-08-10T12.30.15.222,0.927,0.999,-0.032,-0.040,0.000
1597051815232,2020-08-10T12.30.15.232,0.937,0.999,-0.032,-0.040,0.000
1597051815242,2020-08-10T12.30.15.242,0.947,0.999,-0.032,-0.040,0.000
1597051815253,2020-08-10T12.30.15.253,0.958,0.999,-0.032,-0.040,0.000
1597051815263,2020-08-10T12.30.15.263,0.968,0.999,-0.032,-0.040,0.000
1597051815272,2020-08-10T12.30.15.272,0.977,0.999,-0.032,-0.040,0.000
1597051815282,2020-08-10T12.30.15.282,0.987,0.999,-0.032,-0.040,0.000
1597051815292,2020-08-10T12.30.15.292,0.997,0.999,-0.032,-0.040,0.000
1597051815303,2020-08-10T12.30.15.303,1.008,0.999,-0.032,-0.040,0.000
1597051815313,2020-08-10T12.30.15.313,1.018,0.999,-0.032,-0.040,0.000
1597051815322,2020-08-10T12.30.15.322,1.027,0.999,-0.032,-0.040,0.000
1597051815332,2020-08-10T12.30.15.332,1.037,0.999,-0.032,-0.040,0.000
1597051815342,2020-08-10T12.30.15.342,1.047,0.999,-0.032,-0.040,0.000
1597051815352,2020-08-10T12.30.15.352,1.057,0.999,-0.032,-0.040,0.000
1597051815363,2020-08-10T12.30.15.363,1.068,0.999,-0.032,-0.040,0.000
1597051815371,2020-08-10T12.30.15.371,1.076,0.999,-0.032,-0.040,0.000
1597051815382,2020-08-10T12.30.15.382,1.087,0.999,-0.032,-0.040,0.000
1597051815392,2020-08-10T12.30.15.392,1.097,0.999,-0.032,-0.040,0.000
1597051815402,2020-08-10T12.30.15.402,1.107,0.999,-0.032,-0.040,0.000
1597051815412,2020-08-10T12.30.15.412,1.117,0.999,-0.032,-0.040,0.000
1597051815421,2020-08-10T12.30.15.421,1.126,0.999,-0.032,-0.040,0.000
1597051815431,2020-08-10T12.30.15.431,1.136,0.999,-0.032,-0.040,0.000
1597051815442,2020-08-10T12.30.15.442,1.147,0.999,-0.032,-0.040,0.000
1597051815452,2020-08-10T12.30.15.452,1.157,0.999,-0.032,-0.040,0.000
1597051815462,2020-08-10T12.30.15.462,1.167,0.999,-0.032,-0.040,0.000
1597051815471,2020-08-10T12.30.15.471,1.176,0.999,-0.032,-0.040,0.000
1597051815481,2020-08-10T12.30.15.481,1.186,0.999,-0.032,-0.040,0.000
1597051815491,2020-08-10T12.30.15.491,1.196,0.999,-0.032,-0.040,0.000
1597051815502,2020-08-10T12.30.15.502,1.207,0.999,-0.032,-0.040,0.000
1597051815512,2020-08-10T12.30.15.512,1.217,0.999,-0.032,-0.040,0.000
1597051815521,2020-08-10T12.30.15.521,1.226,0.999,-0.032,-0.040,0.000
1597051815531,2020-08-10T12.30.15.531,1.236,0.999,-0.032,-0.040,0.000
1597051815541,2020-08-10T12.30.15.541,1.246,0.999,-0.032,-0.040,0.000
1597051815552,2020-08-10T12.30.15.552,1.257,0.999,-0.032,-0.040,0.000
1597051815562,2020-08-10T12.30.15.562,1.267,0.999,-0.032,-0.040,0.000
1597051815572,2020-08-10T12.30.15.572,1.277,0.999,-0.032,-0.040,0.000
1597051815581,2020-08-10T12.30.15.581,1.286,0.999,-0.032,-0.040,0.000
1597051815591,2020-08-10T12.30.15.591,1.296,0.999,-0.032,-0.040,0.000
1597051815601,2020-08-10T12.30.15.601,1.306,0.999,-0.032,-0.040,0.000
1597051815612,2020-08-10T12.30.15.612,1.317,0.999,-0.032,-0.040,0.000
1597051815620,2020-08-10T12.30.15.620,1.325,0.999,-0.032,-0.040,0.000
1597051815631,2020-08-10T12.30.15.631,1.336,0.999,-0.032,-0.040,0.000
1597051815641,2020-08-10T12.30.15.641,1.346,0.999,-0.032,-0.040,0.000
1597051815651,2020-08-10T12.30.15.651,1.356,0.999,-0.032,-0.040,0.000
1597051815661,2020-08-10T12.30.15.661,1.366,0.999,-0.032,-0.040,0.000
1597051815672,2020-08-10T12.30.15.672,1.377,0.999,-0.032,-0.040,0.000
1597051815680,2020-08-10T12.30.15.680,1.385,0.999,-0.032,-0.040,0.000
1597051815691,2020-08-10T12.30.15.691,1.396,0.999,-0.032,-0.040,0.000
1597051815701,2020-08-10T12.30.15.701,1.406,0.999,-0.032,-0.040,0.000
1597051815711,2020-08-10T12.30.15.711,1.416,0.999,-0.032,-0.040,0.000
1597051815721,2020-08-10T12.30.15.721,1.426,0.999,-0.032,-0.040,0.000
1597051815730,2020-08-10T12.30.15.730,1.435,0.999,-0.032,-0.040,0.000
1597051815741,2020-08-10T12.30.15.741,1.446,0.999,-0.032,-0.040,0.000
1597051815751,2020-08-10T12.30.15.751,1.456,0.999,-0.032,-0.040,0.000
1597051815761,2020-08-10T12.30.15.761,1.466,0.999,-0.032,-0.040,0.000
1597051815771,2020-08-10T12.30.15.771,1.476,0.999,-0.032,-0.040,0.000
1597051815780,2020-08-10T12.30.15.780,1.485,0.999,-0.032,-0.040,0.000
1597051815790,2020-08-10T12.30.15.790,1.495,0.999,-0.032,-0.040,0.000
1597051815801,2020-08-10T12.30.15.801,1.506,0.999,-0.032,-0.040,0.000
1597051815811,2020-08-10T12.30.15.811,1.516,0.999,-0.032,-0.040,0.000
1597051815821,2020-08-10T12.30.15.821,1.526,0.999,-0.032,-0.040,0.000
1597051815830,2020-08-10T12.30.15.830,1.535,0.999,-0.032,-0.040,0.000
1597051815840,2020-08-10T12.30.15.840,1.545,0.999,-0.032,-0.040,0.000
1597051815850,2020-08-10T12.30.15.850,1.555,0.999,-0.032,-0.040,0.000
1597051815861,2020-08-10T12.30.15.861,1.566,0.999,-0.032,-0.040,0.000
1597051815871,2020-08-10T12.30.15.871,1.576,0.999,-0.032,-0.040,0.000
1597051815880,2020-08-10T12.30.15.880,1.585,0.999,-0.032,-0.040,0.000
1597051815890,2020-08-10T12.30.15.890,1.595,0.999,-0.032,-0.040,0.000
1597051815900,2020-08-10T12.30.15.900,1.605,0.999,-0.032,-0.040,0.000
1597051815910,2020-08-10T12.30.15.910,1.615,0.999,-0.032,-0.040,0.000
1597051815921,2020-08-10T12.30.15.921,1.626,0.999,-0.032,-0.040,0.000
1597051815931,2020-08-10T12.30.15.931,1.636,0.999,-0.032,-0.040,0.000
1597051815940,2020-08-10T12.30.15.940,1.645,0.999,-0.032,-0.040,0.000
1597051815950,2020-08-10T12.30.15.950,1.655,0.999,-0.032,-0.040,0.000
1597051815960,2020-08-10T12.30.15.960,1.665,0.999,-0.032,-0.040,0.000
1597051815971,2020-08-10T12.30.15.971,1.676,0.999,-0.032,-0.040,0.000
1597051815979,2020-08-10T12.30.15.979,1.684,0.999,-0.032,-0.040,0.000
1597051815990,2020-08-10T12.30.15.990,1.695,0.999,-0.032,-0.040,0.000
1597051816000,2020-08-10T12.30.16.000,1.705,0.999,-0.032,-0.040,0.000
1597051816010,2020-08-10T12.30.16.010,1.715,0.999,-0.032,-0.040,0.000
1597051816020,2020-08-10T12.30.16.020,1.725,0.999,-0.032,-0.040,0.000
1597051816031,2020-08-10T12.30.16.031,1.736,0.999,-0.032,-0.040,0.000
1597051816039,2020-08-10T12.30.16.039,1.744,0.999,-0.032,-0.040,0.000
1597051816050,2020-08-10T12.30.16.050,1.755,0.999,-0.032,-0.040,0.000
1597051816060,2020-08-10T12.30.16.060,1.765,0.999,-0.032,-0.040,0.000
1597051816070,2020-08-10T12.30.16.070,1.775,0.999,-0.032,-0.040,0.000
1597051816080,2020-08-10T12.30.16.080,1.785,0.999,-0.032,-0.040,0.000
1597051816089,2020-08-10T12.30.16.089,1.794,0.999,-0.032,-0.040,0.000
1597051816099,2020-08-10T12.30.16.099,1.804,0.999,-0.032,-0.040,0.000
1597051816110,2020-08-10T12.30.16.110,1.815,0.999,-0.032,-0.040,0.000
1597051816120,2020-08-10T12.30.16.120,1.825,0.999,-0.032,-0.040,0.000
1597051816130,2020-08-10T12.30.16.130,1.835,0.999,-0.032,-0.040,0.000
1597051816139,2020-08-10T12.30.16.139,1.844,0.999,-0.032,-0.040,0.000
1597051816149,2020-08-10T12.30.16.149,1.854,0.999,-0.032,-0.040,0.000
1597051816159,2020-08-10T12.30.16.159,1.864,0.999,-0.032,-0.040,0.000
1597051816170,2020-08-10T12.30.16.170,1.875,0.999,-0.032,-0.040,0.000
1597051816180,2020-08-10T12.30.16.180,1.885,0.999,-0.032,-0.040,0.000
1597051816189,2020-08-10T12.30.16.189,1.894,0.999,-0.032,-0.040,0.000
1597051816199,2020-08-10T12.30.16.199,1.904,0.999,-0.032,-0.040,0.000
1597051816209,2020-08-10T12.30.16.209,1.914,0.999,-0.032,-0.040,0.000
1597051816220,2020-08-10T12.30.16.220,1.925,0.999,-0.032,-0.040,0.000
1597051816230,2020-08-10T12.30.16.230,1.935,0.999,-0.032,-0.040,0.000
1597051816239,2020-08-10T12.30.16.239,1.944,0.999,-0.032,-0.040,0.000
1597051816249,2020-08-10T12.30.16.249,1.954,0.999,-0.032,-0.040,0.000
1597051816259,2020-08-10T12.30.16.259,1.964,0.999,-0.032,-0.040,0.000
1597051816269,2020-08-10T12.30.16.269,1.974,0.999,-0.032,-0.040,0.000
1597051816280,2020-08-10T12.30.16.280,1.985,0.999,-0.032,-0.040,0.000
1597051816290,2020-08-10T12.30.16.290,1.995,0.999,-0.032,-0.040,0.000
1597051816299,2020-08-10T12.30.16.299,2.004,0.999,-0.032,-0.040,0.000
1597051816309,2020-08-10T12.30.16.309,2.014,0.999,-0.032,-0.040,0.000
1597051816319,2020-08-10T12.30.16.319,2.024,0.999,-0.032,-0.040,0.000
1597051816329,2020-08-10T12.30.16.329,2.034,0.999,-0.032,-0.040,0.000
1597051816338,2020-08-10T12.30.16.338,2.043,0.999,-0.032,-0.040,0.000
1597051816348,2020-08-10T12.30.16.348,2.053,0.999,-0.032,-0.040,0.000
1597051816359,2020-08-10T12.30.16.359,2.064,0.999,-0.032,-0.040,0.000
1597051816369,2020-08-10T12.30.16.369,2.074,0.999,-0.032,-0.040,0.000
1597051816379,2020-08-10T12.30.16.379,2.084,0.999,-0.032,-0.040,0.000
1597051816389,2020-08-10T12.30.16.389,2.094,0.999,-0.032,-0.040,0.000
1597051816398,2020-08-10T12.30.16.398,2.103,0.999,-0.032,-0.040,0.000
1597051816408,2020-08-10T12.30.16.408,2.113,0.999,-0.032,-0.040,0.000
1597051816419,2020-08-10T12.30.16.419,2.124,0.999,-0.032,-0.040,0.000
1597051816429,2020-08-10T12.30.16.429,2.134,0.999,-0.032,-0.040,0.000
1597051816439,2020-08-10T12.30.16.439,2.144,0.999,-0.032,-0.040,0.000
1597051816448,2020-08-10T12.30.16.448,2.153,0.999,-0.032,-0.040,0.000
1597051816458,2020-08-10T12.30.16.458,2.163,0.999,-0.032,-0.040,0.000
1597051816469,2020-08-10T12.30.16.469,2.174,0.999,-0.032,-0.040,0.000
1597051816479,2020-08-10T12.30.16.479,2.184,0.999,-0.032,-0.040,0.000
1597051816489,2020-08-10T12.30.16.489,2.194,0.999,-0.032,-0.040,0.000
1597051816498,2020-08-10T12.30.16.498,2.203,0.999,-0.032,-0.040,0.000
1597051816508,2020-08-10T12.30.16.508,2.213,0.999,-0.032,-0.040,0.000
1597051816518,2020-08-10T12.30.16.518,2.223,0.999,-0.032,-0.040,0.000
1597051816529,2020-08-10T12.30.16.529,2.234,0.999,-0.032,-0.040,0.000
1597051816539,2020-08-10T12.30.16.539,2.244,0.999,-0.032,-0.040,0.000
1597051816548,2020-08-10T12.30.16.548,2.253,0.999,-0.032,-0.040,0.000
1597051816558,2020-08-10T12.30.16.558,2.263,0.999,-0.032,-0.040,0.000
1597051816568,2020-08-10T12.30.16.568,2.273,0.999,-0.032,-0.040,0.000
1597051816578,2020-08-10T12.30.16.578,2.283,0.999,-0.032,-0.040,0.000
1597051816589,2020-08-10T12.30.16.589,2.294,0.999,-0.032,-0.040,0.000
1597051816597,2020-08-10T12.30.16.597,2.302,0.999,-0.032,-0.040,0.000
1597051816609,2020-08-10T12.30.16.609,2.314,0.999,-0.032,-0.040,0.000
1597051816618,2020-08-10T12.30.16.618,2.323,0.999,-0.032,-0.040,0.000
1597051816628,2020-08-10T12.30.16.628,2.333,0.999,-0.032,-0.040,0.000
1597051816638,2020-08-10T12.30.16.638,2.343,0.999,-0.032,-0.040,0.000
1597051816649,2020-08-10T12.30.16.649,2.354,0.999,-0.032,-0.040,0.000
1597051816658,2020-08-10T12.30.16.658,2.363,0.999,-0.032,-0.040,0.000
1597051816668,2020-08-10T12.30.16.668,2.373,0.999,-0.032,-0.040,0.000
1597051816678,2020-08-10T12.30.16.678,2.383,0.999,-0.032,-0.040,0.000
1597051816688,2020-08-10T12.30.16.688,2.393,0.999,-0.032,-0.040,0.000
1597051816697,2020-08-10T12.30.16.697,2.402,0.999,-0.032,-0.040,0.000
1597051816707,2020-08-10T12.30.16.707,2.412,0.999,-0.032,-0.040,0.000
1597051816718,2020-08-10T12.30.16.718,2.423,0.999,-0.032,-0.040,0.000
1597051816728,2020-08-10T12.30.16.728,2.433,0.999,-0.032,-0.040,0.000
1597051816738,2020-08-10T12.30.16.738,2.443,0.999,-0.032,-0.040,0.000
1597051816748,2020-08-10T12.30.16.748,2.453,0.999,-0.032,-0.040,0.000
1597051816757,2020-08-10T12.30.16.757,2.462,0.999,-0.032,-0.040,0.000
1597051816767,2020-08-10T12.30.16.767,2.472,0.999,-0.032,-0.040,0.000
1597051816778,2020-08-10T12.30.16.778,2.483,0.999,-0.032,-0.040,0.000
1597051816788,2020-08-10T12.30.16.788,2.493,0.999,-0.032,-0.040,0.000
1597051816798,2020-08-10T12.30.16.798,2.503,0.999,-0.032,-0.040,0.000
1597051816807,2020-08-10T12.30.16.807,2.512,0.999,-0.032,-0.040,0.000
1597051816817,2020-08-10T12.30.16.817,2.522,0.999,-0.032,-0.040,0.000
1597051816827,2020-08-10T12.30.16.827,2.532,0.999,-0.032,-0.040,0.000
1597051816838,2020-08-10T12.30.16.838,2.543,0.999,-0.032,-0.040,0.000
1597051816848,2020-08-10T12.30.16.848,2.553,0.999,-0.032,-0.040,0.000
1597051816857,2020-08-10T12.30.16.857,2.562,0.999,-0.032,-0.040,0.000
1597051816867,2020-08-10T12.30.16.867,2.572,0.999,-0.032,-0.040,0.000
1597051816877,2020-08-10T12.30.16.877,2.582,0.999,-0.032,-0.040,0.000
1597051816887,2020-08-10T12.30.16.887,2.592,0.999,-0.032,-0.040,0.000
1597051816898,2020-08-10T12.30.16.898,2.603,0.999,-0.032,-0.040,0.000
1597051816907,2020-08-10T12.30.16.907,2.612,0.999,-0.032,-0.040,0.000
1597051816917,2020-08-10T12.30.16.917,2.622,0.999,-0.032,-0.040,0.000
1597051816927,2020-08-10T12.30.16.927,2.632,0.999,-0.032,-0.040,0.000
1597051816937,2020-08-10T12.30.16.937,2.642,0.999,-0.032,-0.040,0.000
1597051816948,2020-08-10T12.30.16.948,2.653,0.999,-0.032,-0.040,0.000
1597051816956,2020-08-10T12.30.16.956,2.661,0.999,-0.032,-0.040,0.000
1597051816967,2020-08-10T12.30.16.967,2.672,0.999,-0.032,-0.040,0.000
1597051816977,2020-08-10T12.30.16.977,2.682,0.999,-0.032,-0.040,0.000
1597051816987,2020-08-10T12.30.16.987,2.692,0.999,-0.032,-0.040,0.000
1597051816997,2020-08-10T12.30.16.997,2.702,0.999,-0.032,-0.040,0.000
1597051817008,2020-08-10T12.30.17.008,2.713,0.999,-0.032,-0.040,0.000
1597051817016,2020-08-10T12.30.17.016,2.721,0.999,-0.032,-0.040,0.000
1597051817027,2020-08-10T12.30.17.027,2.732,0.999,-0.032,-0.040,0.000
1597051817037,2020-08-10T12.30.17.037,2.742,0.999,-0.032,-0.040,0.000
1597051817047,2020-08-10T12.30.17.047,2.752,0.999,-0.032,-0.040,0.000
1597051817056,2020-08-10T12.30.17.056,2.761,0.999,-0.032,-0.040,0.000
1597051817066,2020-08-10T12.30.17.066,2.771,0.999,-0.032,-0.040,0.000
1597051817076,2020-08-10T12.30.17.076,2.781,0.999,-0.032,-0.040,0.000
1597051817087,2020-08-10T12.30.17.087,2.792,0.999,-0.032,-0.040,0.000
1597051817097,2020-08-10T12.30.17.097,2.802,0.999,-0.032,-0.040,0.000
1597051817107,2020-08-10T12.30.17.107,2.812,0.999,-0.032,-0.040,0.000
1597051817116,2020-08-10T12.30.17.116,2.821,0.999,-0.032,-0.040,0.000
1597051817126,2020-08-10T12.30.17.126,2.831,0.999,-0.032,-0.040,0.000
1597051817137,2020-08-10T12.30.17.137,2.842,0.999,-0.032,-0.040,0.000
1597051817147,2020-08-10T12.30.17.147,2.852,0.999,-0.032,-0.040,0.000
1597051817157,2020-08-10T12.30.17.157,2.862,0.999,-0.032,-0.040,0.000
1597051817166,2020-08-10T12.30.17.166,2.871,0.999,-0.032,-0.040,0.000
1597051817176,2020-08-10T12.30.17.176,2.881,0.999,-0.032,-0.040,0.000
1597051817186,2020-08-10T12.30.17.186,2.891,0.999,-0.032,-0.040,0.000
1597051817197,2020-08-10T12.30.17.197,2.902,0.999,-0.032,-0.040,0.000
1597051817207,2020-08-10T12.30.17.207,2.912,0.999,-0.032,-0.040,0.000
1597051817216,2020-08-10T12.30.17.216,2.921,0.999,-0.032,-0.040,0.000
1597051817226,2020-08-10T12.30.17.226,2.931,0.999,-0.032,-0.040,0.000
1597051817236,2020-08-10T12.30.17.236,2.941,0.999,-0.032,-0.040,0.000
1597051817246,2020-08-10T12.30.17.246,2.951,0.999,-0.032,-0.040,0.000
1597051817257,2020-08-10T12.30.17.257,2.962,0.999,-0.032,-0.040,0.000
1597051817265,2020-08-10T12.30.17.265,2.970,0.999,-0.032,-0.040,0.000
1597051817276,2020-08-10T12.30.17.276,2.981,0.999,-0.032,-0.040,0.000
1597051817286,2020-08-10T12.30.17.286,2.991,0.999,-0.032,-0.040,0.000
1597051817296,2020-08-10T12.30.17.296,3.001,0.999,-0.032,-0.040,0.000
1597051817306,2020-08-10T12.30.17.306,3.011,0.999,-0.032,-0.040,0.000
1597051817315,2020-08-10T12.30.17.315,3.020,0.999,-0.032,-0.040,0.000
1597051817325,2020-08-10T12.30.17.325,3.030,0.999,-0.032,-0.040,0.000
1597051817336,2020-08-10T12.30.17.336,3.041,0.999,-0.032,-0.040,0.000
1597051817346,2020-08-10T12.30.17.346,3.051,0.999,-0.032,-0.040,0.000
1597051817356,2020-08-10T12.30.17.356,3.061,0.999,-0.032,-0.040,0.000
1597051817365,2020-08-10T12.30.17.365,3.070,0.999,-0.032,-0.040,0.000
1597051817375,2020-08-10T12.30.17.375,3.080,0.999,-0.032,-0.040,0.000
1597051817386,2020-08-10T12.30.17.386,3.091,0.999,-0.032,-0.040,0.000
1597051817396,2020-08-10T12.30.17.396,3.101,0.999,-0.032,-0.040,0.000
1597051817406,2020-08-10T12.30.17.406,3.111,0.999,-0.032,-0.040,0.000
1597051817415,2020-08-10T12.30.17.415,3.120,0.999,-0.032,-0.040,0.000
1597051817425,2020-08-10T12.30.17.425,3.130,0.999,-0.032,-0.040,0.000
1597051817435,2020-08-10T12.30.17.435,3.140,0.999,-0.032,-0.040,0.000
1597051817446,2020-08-10T12.30.17.446,3.151,0.999,-0.032,-0.040,0.000
1597051817456,2020-08-10T12.30.17.456,3.161,0.999,-0.032,-0.040,0.000
1597051817465,2020-08-10T12.30.17.465,3.170,0.999,-0.032,-0.040,0.000
1597051817475,2020-08-10T12.30.17.475,3.180,0.999,-0.032,-0.040,0.000
1597051817485,2020-08-10T12.30.17.485,3.190,0.999,-0.032,-0.040,0.000
1597051817495,2020-08-10T12.30.17.495,3.200,0.999,-0.032,-0.040,0.000
1597051817506,2020-08-10T12.30.17.506,3.211,0.999,-0.032,-0.040,0.000
1597051817516,2020-08-10T12.30.17.516,3.221,0.999,-0.032,-0.040,0.000
