{epoch: 1605184459155, value: {voltage : 3889, charge : 65}}
{epoch: 1605184460031, value: {x : 0.025, y : -0.031, z : 0.962}}
{epoch: 1605184460040, value: {x : 0.026, y : -0.031, z : 0.962}}
{epoch: 1605184460050, value: {x : 0.026, y : -0.033, z : 0.963}}
{epoch: 1605184460061, value: {x : 0.026, y : -0.032, z : 0.962}}
{epoch: 1605184460071, value: {x : 0.025, y : -0.031, z : 0.961}}
{epoch: 1605184460080, value: {x : 0.025, y : -0.032, z : 0.963}}
{epoch: 1605184460090, value: {x : 0.025, y : -0.031, z : 0.962}}
{epoch: 1605184460100, value: {x : 0.025, y : -0.033, z : 0.963}}
{epoch: 1605184460110, value: {x : 0.026, y : -0.031, z : 0.962}}
{epoch: 1605184460119, value: {x : 0.025, y : -0.030, z : 0.964}}
{epoch: 1605184460129, value: {x : 0.027, y : -0.030, z : 0.962}}
{epoch: 1605184460140, value: {x : 0.027, y : -0.031, z : 0.960}}
{epoch: 1605184460150, value: {x : 0.025, y : -0.030, z : 0.965}}
{epoch: 1605184460156, value: {voltage : 3889, charge : 65}}
{epoch: 1605184460159, value: {x : 0.027, y : -0.032, z : 0.964}}
{epoch: 1605184460169, value: {x : 0.025, y : -0.032, z : 0.959}}
{epoch: 1605184460179, value: {x : 0.027, y : -0.032, z : 0.961}}
{epoch: 1605184460190, value: {x : 0.026, y : -0.033, z : 0.962}}
{epoch: 1605184460198, value: {x : 0.026, y : -0.033, z : 0.963}}
{epoch: 1605184460209, value: {x : 0.026, y : -0.032, z : 0.962}}
{epoch: 1605184460219, value: {x : 0.027, y : -0.032, z : 0.962}}
{epoch: 1605184460229, value: {x : 0.024, y : -0.033, z : 0.964}}
{epoch: 1605184460238, value: {x : 0.025, y : -0.033, z : 0.963}}
{epoch: 1605184460248, value: {x : 0.026, y : -0.034, z : 0.961}}
{epoch: 1605184460258, value: {x : 0.026, y : -0.033, z : 0.962}}
{epoch: 1605184460267, value: {x : 0.025, y : -0.032, z : 0.962}}
{epoch: 1605184460277, value: {x : 0.025, y : -0.033, z : 0.963}}
{epoch: 1605184460288, value: {x : 0.025, y : -0.032, z : 0.964}}
{epoch: 1605184460298, value: {x : 0.025, y : -0.031, z : 0.961}}
{epoch: 1605184460307, value: {x : 0.025, y : -0.033, z : 0.963}}
{epoch: 1605184460317, value: {x : 0.023, y : -0.033, z : 0.960}}
{epoch: 1605184460327, value: {x : 0.025, y : -0.032, z : 0.960}}
{epoch: 1605184460337, value: {x : 0.025, y : -0.033, z : 0.961}}
{epoch: 1605184460346, value: {x : 0.026, y : -0.031, z : 0.962}}
{epoch: 1605184460357, value: {x : 0.026, y : -0.032, z : 0.963}}
{epoch: 1605184460367, value: {x : 0.026, y : -0.033, z : 0.961}}
{epoch: 1605184460377, value: {x : 0.024, y : -0.031, z : 0.962}}
{epoch: 1605184460386, value: {x : 0.025, y : -0.031, z : 0.965}}
{epoch: 1605184460396, value: {x : 0.025, y : -0.033, z : 0.963}}
{epoch: 1605184460406, value: {x : 0.027, y : -0.033, z : 0.961}}
{epoch: 1605184460417, value: {x : 0.025, y : -0.033, z : 0.963}}
{epoch: 1605184460425, value: {x : 0.025, y : -0.033, z : 0.963}}
{epoch: 1605184460436, value: {x : 0.026, y : -0.031, z : 0.961}}
{epoch: 1605184460446, value: {x : 0.027, y : -0.031, z : 0.962}}
{epoch: 1605184460456, value: {x : 0.023, y : -0.032, z : 0.962}}
{epoch: 1605184460465, value: {x : 0.025, y : -0.033, z : 0.961}}
{epoch: 1605184460475, value: {x : 0.027, y : -0.031, z : 0.961}}
{epoch: 1605184460485, value: {x : 0.027, y : -0.031, z : 0.964}}
{epoch: 1605184460496, value: {x : 0.027, y : -0.032, z : 0.961}}
{epoch: 1605184460504, value: {x : 0.026, y : -0.031, z : 0.960}}
{epoch: 1605184460515, value: {x : 0.025, y : -0.033, z : 0.962}}
{epoch: 1605184460525, value: {x : 0.025, y : -0.031, z : 0.962}}
{epoch: 1605184460534, value: {x : 0.025, y : -0.031, z : 0.962}}
{epoch: 1605184460544, value: {x : 0.025, y : -0.032, z : 0.963}}
{epoch: 1605184460554, value: {x : 0.025, y : -0.033, z : 0.963}}
{epoch: 1605184460565, value: {x : 0.025, y : -0.032, z : 0.963}}
{epoch: 1605184460573, value: {x : 0.027, y : -0.031, z : 0.961}}
{epoch: 1605184460584, value: {x : 0.026, y : -0.030, z : 0.961}}
{epoch: 1605184460594, value: {x : 0.025, y : -0.030, z : 0.962}}
{epoch: 1605184460604, value: {x : 0.025, y : -0.032, z : 0.964}}
{epoch: 1605184460613, value: {x : 0.026, y : -0.032, z : 0.963}}
{epoch: 1605184460623, value: {x : 0.024, y : -0.032, z : 0.962}}
{epoch: 1605184460633, value: {x : 0.025, y : -0.031, z : 0.962}}
{epoch: 1605184460644, value: {x : 0.025, y : -0.031, z : 0.961}}
{epoch: 1605184460652, value: {x : 0.025, y : -0.032, z : 0.965}}
{epoch: 1605184460663, value: {x : 0.025, y : -0.031, z : 0.963}}
{epoch: 1605184460673, value: {x : 0.025, y : -0.030, z : 0.962}}
{epoch: 1605184460683, value: {x : 0.025, y : -0.032, z : 0.962}}
{epoch: 1605184460692, value: {x : 0.026, y : -0.033, z : 0.959}}
{epoch: 1605184460702, value: {x : 0.027, y : -0.032, z : 0.964}}
{epoch: 1605184460712, value: {x : 0.025, y : -0.032, z : 0.962}}
{epoch: 1605184460721, value: {x : 0.026, y : -0.031, z : 0.962}}
{epoch: 1605184460732, value: {x : 0.026, y : -0.032, z : 0.961}}
{epoch: 1605184460742, value: {x : 0.026, y : -0.033, z : 0.962}}
{epoch: 1605184460752, value: {x : 0.027, y : -0.032, z : 0.964}}
{epoch: 1605184460761, value: {x : 0.025, y : -0.031, z : 0.963}}
{epoch: 1605184460771, value: {x : 0.023, y : -0.034, z : 0.960}}
{epoch: 1605184460781, value: {x : 0.024, y : -0.034, z : 0.959}}
{epoch: 1605184460792, value: {x : 0.025, y : -0.033, z : 0.963}}
